time;temperature
1.7;23.31
2.23;23.31
3.24;23.31
4.25;23.31
5.25;23.31
6.26;23.25
7.27;23.25
8.28;23.25
9.28;23.31
10.29;23.25
11.3;23.31
12.31;23.31
13.32;23.31
14.32;23.31
15.33;23.31
16.34;23.31
17.35;23.31
18.35;23.31
19.36;23.31
20.37;23.31
21.38;23.37
22.38;23.56
23.39;23.69
24.4;23.81
25.41;23.94
26.41;24.06
27.42;24.19
28.43;24.31
29.44;24.44
30.44;24.5
31.45;24.56
32.46;24.69
33.47;24.75
34.48;24.81
35.48;24.87
36.49;24.94
37.5;24.94
38.51;25
39.51;25.06
40.52;25.25
41.53;25.31
42.54;25.37
43.54;25.44
44.55;25.5
45.56;25.56
46.57;25.56
47.57;25.56
48.58;25.62
49.59;25.62
50.6;25.62
51.61;25.69
52.61;25.75
53.62;25.81
54.63;25.81
55.63;25.94
56.64;25.94
57.65;26
58.66;26.06
59.66;26.06
60.67;26.12
61.68;26.19
62.69;26.25
63.7;26.25
64.7;26.31
65.71;26.37
66.72;26.44
67.73;26.44
68.73;26.44
69.74;26.5
70.75;26.5
71.76;26.5
72.76;26.56
73.77;26.56
74.78;26.62
75.79;26.62
76.8;26.69
77.8;26.69
78.81;26.69
79.82;26.75
80.83;26.81
81.83;26.87
82.84;26.94
83.85;26.94
84.86;26.94
85.86;27
86.87;27
87.88;27
88.89;27.06
89.89;27.06
90.9;27.12
91.91;27.12
92.92;27.12
93.92;27.12
94.93;27.19
95.94;27.19
96.95;27.19
97.96;27.19
98.96;27.25
99.97;27.31
100.98;27.31
101.98;27.37
102.99;27.37
104;27.31
105.01;27.31
106.02;27.31
107.02;27.31
108.03;27.37
109.04;27.37
110.05;27.37
111.05;27.31
112.06;27.37
113.07;27.44
114.08;27.5
115.08;27.5
116.09;27.5
117.1;27.5
118.11;27.5
119.12;27.44
120.12;27.5
121.13;27.5
122.14;27.56
123.14;27.56
124.15;27.56
125.16;27.56
126.17;27.56
127.18;27.62
128.18;27.62
129.19;27.69
130.2;27.75
131.21;27.75
132.21;27.81
133.22;27.81
134.23;27.81
135.24;27.81
136.25;27.81
137.25;27.81
138.26;27.87
139.27;27.94
140.27;27.94
141.28;28
142.29;28
143.3;28
144.31;28
145.31;28.06
146.32;28
147.33;28.06
148.34;28.06
149.34;28.12
150.35;28.06
151.36;28.06
152.37;28.12
153.37;28.19
154.38;28.12
155.39;28.19
156.4;28.19
157.4;28.19
158.42;28.25
159.42;28.25
160.43;28.31
161.44;28.31
162.45;28.31
163.46;28.37
164.46;28.44
165.47;28.5
166.48;28.5
167.49;28.5
168.49;28.56
169.5;28.56
170.51;28.56
171.52;28.62
172.52;28.62
173.53;28.69
174.54;28.69
175.55;28.75
176.55;28.75
177.56;28.75
178.57;28.75
179.58;28.75
180.58;28.75
181.59;28.75
182.6;28.81
183.61;28.81
184.61;28.81
185.62;28.81
186.63;28.87
187.64;28.87
188.64;28.94
189.65;29
190.66;29
191.67;29
192.67;29
193.68;29.06
194.7;29.06
195.7;29.06
196.71;29.12
197.72;29.12
198.73;29.19
199.73;29.19
200.74;29.25
201.75;29.25
202.76;29.31
203.76;29.37
204.77;29.37
205.78;29.44
206.79;29.44
207.79;29.5
208.8;29.5
209.81;29.5
210.82;29.5
211.82;29.56
212.83;29.56
213.84;29.62
214.85;29.62
215.86;29.62
216.86;29.69
217.87;29.69
218.88;29.69
219.89;29.75
220.9;29.75
221.9;29.75
222.91;29.75
223.92;29.75
224.93;29.81
225.93;29.81
226.94;29.81
227.95;29.75
228.96;29.75
229.97;29.75
230.97;29.81
231.98;29.87
232.99;29.87
234;29.94
235.01;29.94
236.02;29.94
237.02;29.94
238.03;29.94
239.04;29.94
240.05;29.94
241.05;29.94
242.06;29.94
243.07;29.94
244.08;29.94
245.08;30
246.09;30
247.1;30
248.11;30
249.12;30
250.12;30
251.13;30
252.14;30.06
253.15;30.12
254.16;30.12
255.16;30.12
256.17;30.12
257.18;30.12
258.19;30.19
